epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.185,1.73644,4.16841,1.78984,0.00547,0.43955,0.00886,0.00377,1.80818,4.36116,1.80795,3.57e-05,3.57e-05,3.57e-05
2,190.202,1.64614,4.03549,1.68028,0.00863,0.52525,0.02796,0.01375,1.59001,4.24029,1.58982,7.69849e-05,7.69849e-05,7.69849e-05
3,267.391,1.5751,3.74552,1.59066,0.0085,0.54004,0.0466,0.02194,1.51474,4.1813,1.50772,0.000116573,0.000116573,0.000116573
4,338.762,1.54559,3.40668,1.58416,0.00885,0.50729,0.06886,0.03709,1.44467,4.13106,1.4829,0.000154465,0.000154465,0.000154465
5,418.084,1.57322,3.16775,1.59249,0.00952,0.5067,0.11142,0.06362,1.38591,4.00309,1.47188,0.000190661,0.000190661,0.000190661
6,500.546,1.52685,2.93106,1.57584,0.94858,0.04648,0.09106,0.05048,1.37302,3.89241,1.48136,0.00022516,0.00022516,0.00022516
7,582.36,1.49463,2.77831,1.54592,0.94502,0.06197,0.09857,0.05829,1.37401,3.79431,1.46506,0.000257962,0.000257962,0.000257962
8,660.904,1.52604,2.66263,1.59818,0.94519,0.05233,0.13913,0.08452,1.34752,3.7108,1.44952,0.000289069,0.000289069,0.000289069
9,736.177,1.57167,2.5917,1.54835,0.97894,0.04645,0.15837,0.09846,1.33218,3.54651,1.4525,0.000318478,0.000318478,0.000318478
10,811.264,1.44766,2.50396,1.53562,0.92408,0.06999,0.18091,0.11375,1.33337,3.35955,1.45302,0.000346191,0.000346191,0.000346191
11,892.333,1.40184,2.44872,1.53362,0.89271,0.09142,0.19956,0.12401,1.31452,3.14368,1.46974,0.000372208,0.000372208,0.000372208
12,978.611,1.37993,2.30316,1.44291,0.8792,0.10716,0.23144,0.15627,1.29022,2.97567,1.44311,0.000396528,0.000396528,0.000396528
13,1055.85,1.3647,2.28372,1.49369,0.84686,0.12741,0.23796,0.15709,1.28428,2.82271,1.44073,0.000419152,0.000419152,0.000419152
14,1130.16,1.318,2.11416,1.44123,0.82938,0.15069,0.25804,0.16356,1.27461,2.69096,1.4569,0.00044008,0.00044008,0.00044008
15,1202.92,1.31246,2.06306,1.43323,0.83584,0.15123,0.27332,0.18032,1.24724,2.6918,1.42627,0.00045931,0.00045931,0.00045931
16,1292.24,1.25778,2.12293,1.43184,0.82487,0.17989,0.27576,0.18853,1.23105,2.71653,1.3759,0.000476845,0.000476845,0.000476845
17,1382.39,1.24971,1.98628,1.37834,0.88341,0.21921,0.31049,0.2205,1.21148,2.61827,1.3619,0.000487805,0.000487805,0.000487805
18,1478.93,1.31246,1.98675,1.38003,0.86145,0.29102,0.38289,0.27873,1.20122,2.34734,1.36198,0.000473668,0.000473668,0.000473668
19,1566.65,1.19114,1.95766,1.32881,0.84975,0.30734,0.42876,0.31393,1.20472,2.26057,1.35528,0.00045953,0.00045953,0.00045953
20,1658.57,1.25271,1.86039,1.33887,0.71768,0.38712,0.46353,0.33348,1.17164,2.17913,1.3444,0.000445393,0.000445393,0.000445393
21,1751.1,1.25017,1.78432,1.34837,0.78648,0.45027,0.48091,0.35407,1.14159,2.17128,1.31653,0.000431256,0.000431256,0.000431256
22,1861.61,1.21173,1.73704,1.322,0.71858,0.47836,0.56002,0.43398,1.12449,2.16205,1.2951,0.000417119,0.000417119,0.000417119
23,2091.02,1.25617,1.74588,1.3813,0.75434,0.41325,0.55336,0.41389,1.1306,2.16539,1.29749,0.000402982,0.000402982,0.000402982
24,2176.07,1.21829,1.85602,1.35041,0.64355,0.51944,0.56517,0.39321,1.13081,2.09688,1.30902,0.000388844,0.000388844,0.000388844
25,2249.2,1.12169,1.67398,1.29856,0.76404,0.47235,0.57598,0.3566,1.10504,2.00923,1.30189,0.000374707,0.000374707,0.000374707
26,2324.85,1.0754,1.56108,1.22736,0.78858,0.51895,0.579,0.35865,1.07436,1.7847,1.28141,0.00036057,0.00036057,0.00036057
27,2397.32,1.12782,1.64889,1.30434,0.77981,0.51565,0.58517,0.37268,1.05513,1.75378,1.25576,0.000346433,0.000346433,0.000346433
28,2470.8,1.1298,1.65122,1.27572,0.67878,0.58318,0.59273,0.39539,1.04461,1.76009,1.24463,0.000332296,0.000332296,0.000332296
29,2544.16,1.13043,1.55285,1.25442,0.68148,0.57821,0.59745,0.40037,1.04841,1.73581,1.24588,0.000318158,0.000318158,0.000318158
30,2619.48,1.14951,1.70891,1.29486,0.7662,0.56076,0.62368,0.46978,0.9713,1.6406,1.19919,0.000304021,0.000304021,0.000304021
31,2692.24,1.03028,1.50644,1.21082,0.80705,0.54321,0.64062,0.48723,0.95743,1.57359,1.19645,0.000289884,0.000289884,0.000289884
32,2765.22,1.09477,1.48501,1.26218,0.76718,0.59446,0.68556,0.52138,0.94051,1.47361,1.1884,0.000275747,0.000275747,0.000275747
33,2838.38,1.04266,1.43546,1.24217,0.79264,0.5996,0.69545,0.53565,0.92575,1.44638,1.17392,0.00026161,0.00026161,0.00026161
34,2912.27,1.04041,1.41628,1.2292,0.77954,0.62723,0.70923,0.53209,0.86531,1.42919,1.13968,0.000247472,0.000247472,0.000247472
35,2988.09,1.01515,1.4098,1.18969,0.77116,0.6346,0.71058,0.54092,0.85855,1.40042,1.13561,0.000233335,0.000233335,0.000233335
36,3077.9,1.00415,1.38602,1.21031,0.84926,0.58592,0.72413,0.56883,0.8536,1.33123,1.12458,0.000219198,0.000219198,0.000219198
37,3183,1.04985,1.39652,1.22012,0.85618,0.60667,0.72748,0.58263,0.84896,1.30404,1.11564,0.000205061,0.000205061,0.000205061
38,3286.43,1.02723,1.33318,1.19453,0.87895,0.59177,0.72769,0.58385,0.83855,1.25074,1.10673,0.000190924,0.000190924,0.000190924
39,3393.97,0.93239,1.29349,1.15025,0.88441,0.59263,0.72932,0.59428,0.83455,1.24129,1.10278,0.000176786,0.000176786,0.000176786
40,3497.26,0.94253,1.25619,1.16544,0.87384,0.62097,0.75842,0.61325,0.81849,1.2133,1.08624,0.000162649,0.000162649,0.000162649
41,3601.81,1.01028,1.69734,1.22822,0.87224,0.61659,0.75995,0.61866,0.82351,1.22257,1.08733,0.000148512,0.000148512,0.000148512
42,3705.9,0.97062,1.59257,1.17838,0.79186,0.64131,0.74958,0.60565,0.83939,1.30351,1.10387,0.000134375,0.000134375,0.000134375
43,3807.87,0.94813,1.47689,1.18811,0.77577,0.64183,0.74586,0.59867,0.84551,1.34055,1.11201,0.000120238,0.000120238,0.000120238
44,3911.22,0.87337,1.50409,1.13618,0.74414,0.64451,0.75307,0.60487,0.84696,1.38253,1.11962,0.0001061,0.0001061,0.0001061
45,4020.49,0.87709,1.47906,1.10803,0.75178,0.69048,0.76502,0.61081,0.83239,1.34352,1.11158,9.19632e-05,9.19632e-05,9.19632e-05
46,4122.77,0.87905,1.38934,1.15648,0.83768,0.70849,0.79656,0.64009,0.7969,1.23944,1.08421,7.7826e-05,7.7826e-05,7.7826e-05
47,4224.9,0.8888,1.43568,1.16748,0.83533,0.71096,0.80587,0.6507,0.7848,1.19334,1.07451,6.36888e-05,6.36888e-05,6.36888e-05
48,4332.32,0.85462,1.33993,1.10566,0.8998,0.66906,0.81382,0.64603,0.77639,1.14594,1.06645,4.95516e-05,4.95516e-05,4.95516e-05
49,4438.72,0.87991,1.31056,1.14753,0.90696,0.66761,0.81554,0.64869,0.7714,1.13305,1.06289,3.54144e-05,3.54144e-05,3.54144e-05
50,4551.75,0.87069,1.37653,1.16548,0.91395,0.66677,0.81964,0.65248,0.76637,1.11661,1.05843,2.12772e-05,2.12772e-05,2.12772e-05
